Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-11-17,11008.66992,11198.83984,11006.20996,11144.95996,11144.95996,4354360000,38
2022-11-18,11257.00977,11259.44043,11059.16016,11146.05957,11146.05957,4175420000,39
2022-11-21,11091.00977,11128.78027,10999.75,11024.50977,11024.50977,3977130000,40
2022-11-22,11058.55957,11179.87012,10975.66016,11174.41016,11174.41016,4186360000,41
2022-11-23,11174.61035,11310.82031,11174.61035,11285.32031,11285.32031,4431530000,42
2022-11-25,11231,11261.57031,11206.37988,11226.36035,11226.36035,2184080000,43
2022-11-28,11147.57031,11217.75,11020.69043,11049.5,11049.5,4271360000,44
2022-11-29,11060.01953,11086.01953,10944.37012,10983.78027,10983.78027,4592830000,45
2022-11-30,10995.2002,11468.46973,10966.53027,11468,11468,6653460000,46
2022-12-01,11475.16992,11546.76953,11378.75,11482.4502,11482.4502,5158120000,47
2022-12-02,11308.37988,11492.32031,11296.71973,11461.5,11461.5,4523010000,48
2022-12-05,11380.99023,11425.50977,11193.01953,11239.94043,11239.94043,4510030000,49
2022-12-06,11228.41992,11241.41992,10956.2002,11014.88965,11014.88965,4713330000,50
2022-12-07,10963.9502,11039.80957,10910.62012,10958.54981,10958.54981,4343860000,51
2022-12-08,11011.33008,11119.16016,10939.46973,11082,11082,4281800000,52
2022-12-09,11038.16992,11138.7002,10999.25977,11004.62012,11004.62012,4337440000,53
2022-12-12,11015.48047,11144.66992,10984.82031,11143.74023,11143.74023,4829990000,54
2022-12-13,11542.83984,11571.63965,11160.54004,11256.80957,11256.80957,6126890000,55
2022-12-14,11248.08984,11352.08984,11065.24023,11170.88965,11170.88965,5485150000,56
2022-12-15,11012.62012,11029.57031,10775.61035,10810.53027,10810.53027,5536070000,57
2022-12-16,10767.62988,10833.24023,10642.09961,10705.41016,10705.41016,7968170000,58
2022-12-19,10707.44043,10713.96973,10497.54981,10546.03027,10546.03027,4631820000,59
2022-12-20,10490.88965,10609.45996,10446.82031,10547.11035,10547.11035,4707190000,60
2022-12-21,10592,10753.57031,10569.2002,10709.37012,10709.37012,4401420000,61
2022-12-22,10586.45996,10599.33984,10313.32031,10476.12012,10476.12012,5125070000,62
2022-12-23,10437.75,10514.75977,10361.82031,10497.86035,10497.86035,3544680000,63
2022-12-27,10462.19043,10472.32031,10340.73047,10353.23047,10353.23047,3827290000,64
2022-12-28,10339.2002,10414.82031,10207.46973,10213.29004,10213.29004,3842970000,65
2022-12-29,10321.45996,10502.08008,10301.05957,10478.08984,10478.08984,4154100000,66
2022-12-30,10368.37012,10468.30957,10324.7002,10466.48047,10466.48047,3959030000,67
2023-01-03,10562.05957,10613.05957,10309.16016,10386.98047,10386.98047,4780650000,68
2023-01-04,10467.82031,10515.21973,10337.63965,10458.75977,10458.75977,5085380000,69
2023-01-05,10390.30957,10393.21973,10295.25,10305.24023,10305.24023,4764270000,70
2023-01-06,10363.95996,10604.13965,10265.04004,10569.29004,10569.29004,5199780000,71
2023-01-09,10662.09961,10807.25977,10619.12012,10635.65039,10635.65039,5132190000,72
2023-01-10,10607.71973,10743.66992,10589.58984,10742.62988,10742.62988,4710680000,73
2023-01-11,10794.99023,10932.44043,10762.73047,10931.66992,10931.66992,5284390000,74
2023-01-12,10969.25977,11027.75,10797.12012,11001.09961,11001.09961,5681240000,75
2023-01-13,10906.37012,11084.00977,10900.16016,11079.16016,11079.16016,5077990000,76
2023-01-17,11070,11145.44043,11024.71973,11095.11035,11095.11035,5138410000,77
2023-01-18,11170.9502,11223.41016,10952.04981,10957.00977,10957.00977,5288630000,78
2023-01-19,10890.40039,10932.51953,10804.57031,10852.26953,10852.26953,4660800000,79
2023-01-20,10924.66016,11143.16992,10885.65039,11140.42969,11140.42969,5980110000,80
2023-01-23,11171.94043,11405.5,11144.03027,11364.41016,11364.41016,5997810000,81
2023-01-24,11302.92969,11378.15039,11282.65039,11334.26953,11334.26953,5670860000,82
2023-01-25,11146.53027,11334.21973,11069.17969,11313.36035,11313.36035,5485570000,83
2023-01-26,11458.40039,11516.04981,11341.19043,11512.41016,11512.41016,5732890000,84
2023-01-27,11470.46973,11691.88965,11470.26953,11621.70996,11621.70996,6243800000,85
2023-01-30,11512.33984,11553.30957,11388.54004,11393.80957,11393.80957,5122320000,86
2023-01-31,11398.58008,11586.00977,11398.37012,11584.54981,11584.54981,5695150000,87
2023-02-01,11573.13965,11904.01953,11500.33008,11816.32031,11816.32031,6336040000,88
2023-02-02,12065.15039,12269.54981,12024.13965,12200.82031,12200.82031,7038210000,89
2023-02-03,11946.86035,12231.30957,11946.86035,12006.9502,12006.9502,5954490000,90
2023-02-06,11904.41016,11973.41016,11843.49023,11887.4502,11887.4502,5538350000,91
2023-02-07,11891.25,12150.21973,11836.78027,12113.79004,12113.79004,5720240000,92
2023-02-08,12069.12012,12096.38965,11890.08984,11910.51953,11910.51953,5052870000,93
2023-02-09,12069.09961,12070.95996,11745.11035,11789.58008,11789.58008,5536290000,94
2023-02-10,11714.59961,11775.79981,11630.54004,11718.12012,11718.12012,4885030000,95
2023-02-13,11759.08984,11910.91992,11719.73047,11891.79004,11891.79004,4752880000,96
2023-02-14,11808.2002,11999.84961,11760.55957,11960.15039,11960.15039,5032430000,97
2023-02-15,11905.12012,12071.29004,11876.82031,12070.58984,12070.58984,5056640000,98
2023-02-16,11896.30957,12040.33984,11853.36035,11855.83008,11855.83008,5159410000,99
2023-02-17,11777.5,11803.21973,11673.20996,11787.26953,11787.26953,4925230000,100
2023-02-21,11640.37012,11684.13965,11491.17969,11492.29981,11492.29981,5002540000,101
2023-02-22,11517.2002,11582.51953,11445.16992,11507.07031,11507.07031,4671270000,102
2023-02-23,11636.92969,11638.98047,11432.58008,11590.40039,11590.40039,4714580000,103
2023-02-24,11404.17969,11434.36035,11334.46973,11394.94043,11394.94043,4432650000,104
2023-02-27,11517.19043,11565.23047,11444.59961,11466.98047,11466.98047,4494000000,105
2023-02-28,11451.04981,11548.23047,11435.38965,11455.54004,11455.54004,5340950000,106
2023-03-01,11447.58008,11479,11349.87012,11379.48047,11379.48047,4927530000,107
2023-03-02,11273.76953,11487.58984,11273.61035,11462.98047,11462.98047,5313760000,108
2023-03-03,11524.65039,11699.62988,11514.74023,11689.00977,11689.00977,5102210000,109
2023-03-06,11736.87012,11827.91992,11667.48047,11675.74023,11675.74023,4982880000,110
2023-03-07,11670.98047,11705.95996,11512.03027,11530.33008,11530.33008,5422820000,111
2023-03-08,11553.08984,11601.23047,11487.75,11576,11576,5085970000,112
2023-03-09,11578.30957,11667.12012,11319.98047,11338.34961,11338.34961,5061790000,113
2023-03-10,11325.36035,11373.80957,11093.86035,11138.88965,11138.88965,6193500000,114
2023-03-13,11041.45996,11326.73047,10982.79981,11188.83984,11188.83984,6201490000,115
2023-03-14,11357.73047,11467.01953,11284.92969,11428.15039,11428.15039,5533120000,116
2023-03-15,11291.16992,11447.90039,11238.44043,11434.04981,11434.04981,5912430000,117
2023-03-16,11384.87012,11733.79981,11365.49023,11717.28027,11717.28027,5498920000,118
2023-03-17,11696.33984,11773.11035,11562.62988,11630.50977,11630.50977,7903090000,119
2023-03-20,11614.38965,11695.54981,11550.69043,11675.54004,11675.54004,4970630000,120
2023-03-21,11764.79004,11879.16016,11724.91016,11860.11035,11860.11035,4829870000,121
2023-03-22,11857.5,12013.99023,11666.84961,11669.95996,11669.95996,4981590000,122
2023-03-23,11811.32031,11962.69043,11684.51953,11787.40039,11787.40039,4917460000,123
2023-03-24,11747.62012,11826.23047,11670.66992,11823.95996,11823.95996,4363650000,124
2023-03-27,11868.54004,11903.20996,11739.04981,11768.83984,11768.83984,4330320000,125
2023-03-28,11752.75977,11752.75977,11635.03027,11716.08008,11716.08008,4036910000,126
2023-03-29,11855.58984,11941.59961,11823.34961,11926.24023,11926.24023,4493540000,127
2023-03-30,12010.4502,12044.79004,11953.37012,12013.46973,12013.46973,4738880000,128
2023-03-31,12031.54004,12227.92969,12030.44043,12221.91016,12221.91016,5521150000,129
2023-04-03,12146.08984,12196.33984,12086.51953,12189.4502,12189.4502,4816440000,130
2023-04-04,12208.49023,12224.67969,12081.80957,12126.33008,12126.33008,4298760000,131
2023-04-05,12081.75977,12086.75,11931.84961,11996.86035,11996.86035,4378590000,132
2023-04-06,11939.08008,12098.5,11898.36035,12087.95996,12087.95996,3862800000,133
2023-04-10,11975.12988,12084.9502,11924.2002,12084.36035,12084.36035,4334070000,134
2023-04-11,12080.24023,12091.26953,12011.40039,12031.87988,12031.87988,4676960000,135
2023-04-12,12110.87012,12134.5,11916.54004,11929.33984,11929.33984,4909770000,136
2023-04-13,11997.41992,12178.79981,11995.94043,12166.26953,12166.26953,4942990000,137
2023-04-14,12117.91016,12205.71973,12026.54981,12123.46973,12123.46973,4655740000,138
2023-04-17,12108.23047,12159.01953,12064.09961,12157.71973,12157.71973,4823180000,139
2023-04-18,12234.55957,12245.42969,12110.23047,12153.41016,12153.41016,4851810000,140
2023-04-19,12063.67969,12191.09961,12060.16992,12157.23047,12157.23047,4972700000,141
2023-04-20,12039.08008,12155.95996,12011.9502,12059.55957,12059.55957,4590530000,142
2023-04-21,12046.03027,12097.15039,11986.82031,12072.45996,12072.45996,4868050000,143
2023-04-24,12053.46973,12103.58008,11960.29981,12037.2002,12037.2002,4854050000,144
2023-04-25,11968.80957,11990.45996,11798.76953,11799.16016,11799.16016,4806020000,145
2023-04-26,11913.23047,11967.99023,11833.07031,11854.34961,11854.34961,5281970000,146
2023-04-27,11972.15039,12154.00977,11950.91992,12142.24023,12142.24023,5253710000,147
2023-04-28,12117.54004,12227.71973,12082.57031,12226.58008,12226.58008,5331380000,148
2023-05-01,12210.04981,12261.32031,12181.08008,12212.59961,12212.59961,5168430000,149
2023-05-02,12198.01953,12206.58008,12015.23047,12080.50977,12080.50977,5501410000,150
2023-05-03,12097.04004,12212.54981,12022.45996,12025.33008,12025.33008,5782160000,151
2023-05-04,11997.33984,12033.15039,11925.37012,11966.40039,11966.40039,4745780000,152
2023-05-05,12073.03027,12264.83008,12065.71973,12235.41016,12235.41016,4574790000,153
2023-05-08,12231.67969,12264.99023,12178.25977,12256.91992,12256.91992,4216360000,154
2023-05-09,12195.78027,12216.12988,12174.05957,12179.54981,12179.54981,4126780000,155
2023-05-10,12286.66016,12337.69043,12180.86035,12306.44043,12306.44043,4948260000,156
2023-05-11,12321.25977,12347.37988,12255.44043,12328.50977,12328.50977,4489490000,157
2023-05-12,12350.51953,12364.65039,12209.58008,12284.74023,12284.74023,4170000000,158
2023-05-15,12301.16992,12376.40039,12263.34961,12365.20996,12365.20996,3979290000,159
2023-05-16,12327.04981,12403.80957,12324.51953,12343.04981,12343.04981,4067510000,160
2023-05-17,12388.58008,12514.07031,12335.01953,12500.57031,12500.57031,4501820000,161
2023-05-18,12513.87012,12698.5,12512.25977,12688.83984,12688.83984,4532890000,162
2023-05-19,12709.45996,12731.73047,12624.05957,12657.90039,12657.90039,3935780000,163
2023-05-22,12664.44043,12756.23047,12655.25977,12720.78027,12720.78027,4278920000,164
2023-05-23,12652.87988,12709.74023,12554.42969,12560.25,12560.25,4347440000,165
2023-05-24,12481.88965,12529.62988,12415.84961,12484.16016,12484.16016,4088270000,166
2023-05-25,12706.44043,12736.91992,12604.88965,12698.08984,12698.08984,4651640000,167
2023-05-26,12736.41992,13001.91016,12729.74023,12975.69043,12975.69043,4434070000,168
2023-05-30,13109.09961,13154.29004,12968.12012,13017.42969,13017.42969,4843470000,169
2023-05-31,12968.37988,13029.08008,12889.37012,12935.29004,12935.29004,5905760000,170
2023-06-01,12944.45996,13141.83008,12903.62988,13100.98047,13100.98047,4610310000,171
2023-06-02,13190.48047,13256.20996,13125.86035,13240.76953,13240.76953,4426760000,172
2023-06-05,13238.48047,13330.65039,13194.9502,13229.42969,13229.42969,4344280000,173
2023-06-06,13199.58984,13306.20996,13165.65039,13276.41992,13276.41992,4810910000,174
2023-06-07,13295.25977,13361.90039,13089.48047,13104.90039,13104.90039,5270600000,175
2023-06-08,13113.26953,13248.59961,13101.17969,13238.51953,13238.51953,4280160000,176
2023-06-09,13312.38965,13385.9502,13229.33008,13259.13965,13259.13965,4412710000,177
2023-06-12,13326.37012,13465.91016,13302.58008,13461.91992,13461.91992,4722680000,178
2023-06-13,13566.53027,13594.40039,13473.19043,13573.32031,13573.32031,5522100000,179
2023-06-14,13570.55957,13661.74023,13455.99023,13626.48047,13626.48047,5772550000,180
2023-06-15,13572.87988,13828.16992,13561.37012,13782.82031,13782.82031,5667520000,181
2023-06-16,13859.07031,13864.05957,13680.9502,13689.57031,13689.57031,8076530000,182
2023-06-20,13642.29004,13711.17969,13561.83984,13667.29004,13667.29004,5237710000,183
2023-06-21,13620.87012,13638.57031,13460.94043,13502.2002,13502.2002,5194640000,184
2023-06-22,13443.41016,13631.84961,13441.55957,13630.61035,13630.61035,4499550000,185
2023-06-23,13484.09961,13572.19043,13442.65039,13492.51953,13492.51953,7734500000,186
2023-06-26,13468.74023,13573.57031,13334.41992,13335.78027,13335.78027,4430600000,187
